"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"04/01/2024 06:00 - 04/01/2024 06:30","Ireland (IE)","3159.91","3845.00"
"04/01/2024 06:30 - 04/01/2024 07:00","Ireland (IE)","3233.28","3920.00"
"04/01/2024 07:00 - 04/01/2024 07:30","Ireland (IE)","3325.06","4139.00"
"04/01/2024 07:30 - 04/01/2024 08:00","Ireland (IE)","3495.86","4358.00"
"04/01/2024 08:00 - 04/01/2024 08:30","Ireland (IE)","3690.72","4611.00"
"04/01/2024 08:30 - 04/01/2024 09:00","Ireland (IE)","3902.36","4865.00"
"04/01/2024 09:00 - 04/01/2024 09:30","Ireland (IE)","4086.62","4918.00"
"04/01/2024 09:30 - 04/01/2024 10:00","Ireland (IE)","4235.65","4970.00"
"04/01/2024 10:00 - 04/01/2024 10:30","Ireland (IE)","4374.00","4974.00"
"04/01/2024 10:30 - 04/01/2024 11:00","Ireland (IE)","4508.97","4978.00"
"04/01/2024 11:00 - 04/01/2024 11:30","Ireland (IE)","4535.84","5003.00"
"04/01/2024 11:30 - 04/01/2024 12:00","Ireland (IE)","4537.59","5029.00"
"04/01/2024 12:00 - 04/01/2024 12:30","Ireland (IE)","4552.73","5049.00"
"04/01/2024 12:30 - 04/01/2024 13:00","Ireland (IE)","4531.79","5069.00"
"04/01/2024 13:00 - 04/01/2024 13:30","Ireland (IE)","4527.21","5081.00"
"04/01/2024 13:30 - 04/01/2024 14:00","Ireland (IE)","4539.60","5092.00"
"04/01/2024 14:00 - 04/01/2024 14:30","Ireland (IE)","4543.53","5091.00"
"04/01/2024 14:30 - 04/01/2024 15:00","Ireland (IE)","4489.74","5090.00"
"04/01/2024 15:00 - 04/01/2024 15:30","Ireland (IE)","4474.14","5101.00"
"04/01/2024 15:30 - 04/01/2024 16:00","Ireland (IE)","4476.90","5112.00"
"04/01/2024 16:00 - 04/01/2024 16:30","Ireland (IE)","4474.49","5164.00"
"04/01/2024 16:30 - 04/01/2024 17:00","Ireland (IE)","4538.42","5216.00"
"04/01/2024 17:00 - 04/01/2024 17:30","Ireland (IE)","4614.59","5341.00"
"04/01/2024 17:30 - 04/01/2024 18:00","Ireland (IE)","4745.33","5466.00"
"04/01/2024 18:00 - 04/01/2024 18:30","Ireland (IE)","4997.50","5590.00"
"04/01/2024 18:30 - 04/01/2024 19:00","Ireland (IE)","5096.63","5714.00"
"04/01/2024 19:00 - 04/01/2024 19:30","Ireland (IE)","5089.32","5651.00"
