"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"16/09/2024 16:00 - 16/09/2024 16:30","Ireland (IE)","3860.26","4223.00"
"16/09/2024 16:30 - 16/09/2024 17:00","Ireland (IE)","3918.31","4272.00"
"16/09/2024 17:00 - 16/09/2024 17:30","Ireland (IE)","3989.47","4348.00"
"16/09/2024 17:30 - 16/09/2024 18:00","Ireland (IE)","4089.15","4424.00"
"16/09/2024 18:00 - 16/09/2024 18:30","Ireland (IE)","4170.98","4402.00"
"16/09/2024 18:30 - 16/09/2024 19:00","Ireland (IE)","4278.50","4380.00"
"16/09/2024 19:00 - 16/09/2024 19:30","Ireland (IE)","4306.19","4310.00"
"16/09/2024 19:30 - 16/09/2024 20:00","Ireland (IE)","4257.95","4240.00"
"16/09/2024 20:00 - 16/09/2024 20:30","Ireland (IE)","4221.25","4228.00"
"16/09/2024 20:30 - 16/09/2024 21:00","Ireland (IE)","4203.71","4216.00"
"16/09/2024 21:00 - 16/09/2024 21:30","Ireland (IE)","4284.77","4184.00"
"16/09/2024 21:30 - 16/09/2024 22:00","Ireland (IE)","4279.85","4152.00"
"16/09/2024 22:00 - 16/09/2024 22:30","Ireland (IE)","4146.74","4006.00"
"16/09/2024 22:30 - 16/09/2024 23:00","Ireland (IE)","4001.14","3861.00"
"16/09/2024 23:00 - 16/09/2024 23:30","Ireland (IE)","3807.13","3754.00"
"16/09/2024 23:30 - 17/09/2024 00:00","Ireland (IE)","3619.17","3648.00"
"17/09/2024 00:00 - 17/09/2024 00:30","Ireland (IE)","3444.85","3535.00"
"17/09/2024 00:30 - 17/09/2024 01:00","Ireland (IE)","3302.43","3422.00"
"17/09/2024 01:00 - 17/09/2024 01:30","Ireland (IE)","3180.73","3358.00"
"17/09/2024 01:30 - 17/09/2024 02:00","Ireland (IE)","3146.88","3295.00"
"17/09/2024 02:00 - 17/09/2024 02:30","Ireland (IE)","3097.33","3271.00"
"17/09/2024 02:30 - 17/09/2024 03:00","Ireland (IE)","3061.93","3248.00"
"17/09/2024 03:00 - 17/09/2024 03:30","Ireland (IE)","3017.93","3240.00"
"17/09/2024 03:30 - 17/09/2024 04:00","Ireland (IE)","3054.77","3231.00"
"17/09/2024 04:00 - 17/09/2024 04:30","Ireland (IE)","3040.64","3230.00"
"17/09/2024 04:30 - 17/09/2024 05:00","Ireland (IE)","3041.16","3229.00"
"17/09/2024 05:00 - 17/09/2024 05:30","Ireland (IE)","2996.25","3251.00"
"17/09/2024 05:30 - 17/09/2024 06:00","Ireland (IE)","2978.48","3274.00"
"17/09/2024 06:00 - 17/09/2024 06:30","Ireland (IE)","2980.79","3383.00"
"17/09/2024 06:30 - 17/09/2024 07:00","Ireland (IE)","3054.30","3493.00"
"17/09/2024 07:00 - 17/09/2024 07:30","Ireland (IE)","3167.27","3632.00"
"17/09/2024 07:30 - 17/09/2024 08:00","Ireland (IE)","3390.53","3770.00"
"17/09/2024 08:00 - 17/09/2024 08:30","Ireland (IE)","3645.81","3953.00"
"17/09/2024 08:30 - 17/09/2024 09:00","Ireland (IE)","3959.86","4135.00"
"17/09/2024 09:00 - 17/09/2024 09:30","Ireland (IE)","4105.20","4208.00"
"17/09/2024 09:30 - 17/09/2024 10:00","Ireland (IE)","4147.01","4281.00"
"17/09/2024 10:00 - 17/09/2024 10:30","Ireland (IE)","4162.10","4275.00"
"17/09/2024 10:30 - 17/09/2024 11:00","Ireland (IE)","4194.39","4269.00"
"17/09/2024 11:00 - 17/09/2024 11:30","Ireland (IE)","4135.97","4247.00"
"17/09/2024 11:30 - 17/09/2024 12:00","Ireland (IE)","4048.09","4225.00"
"17/09/2024 12:00 - 17/09/2024 12:30","Ireland (IE)","4007.03","4220.00"
"17/09/2024 12:30 - 17/09/2024 13:00","Ireland (IE)","3949.13","4216.00"
"17/09/2024 13:00 - 17/09/2024 13:30","Ireland (IE)","3937.71","4200.00"
"17/09/2024 13:30 - 17/09/2024 14:00","Ireland (IE)","3939.44","4184.00"
"17/09/2024 14:00 - 17/09/2024 14:30","Ireland (IE)","3916.93","4162.00"
"17/09/2024 14:30 - 17/09/2024 15:00","Ireland (IE)","3849.52","4141.00"
"17/09/2024 15:00 - 17/09/2024 15:30","Ireland (IE)","3838.06","4153.00"
"17/09/2024 15:30 - 17/09/2024 16:00","Ireland (IE)","3839.05","4166.00"
"17/09/2024 16:00 - 17/09/2024 16:30","Ireland (IE)","3856.67","4205.00"
"17/09/2024 16:30 - 17/09/2024 17:00","Ireland (IE)","3912.27","4245.00"
"17/09/2024 17:00 - 17/09/2024 17:30","Ireland (IE)","3963.09","4332.00"
"17/09/2024 17:30 - 17/09/2024 18:00","Ireland (IE)","4039.43","4419.00"
"17/09/2024 18:00 - 17/09/2024 18:30","Ireland (IE)","4149.81","4401.00"
"17/09/2024 18:30 - 17/09/2024 19:00","Ireland (IE)","4231.65","4384.00"
"17/09/2024 19:00 - 17/09/2024 19:30","Ireland (IE)","4262.63","4314.00"
"17/09/2024 19:30 - 17/09/2024 20:00","Ireland (IE)","4232.02","4245.00"
"17/09/2024 20:00 - 17/09/2024 20:30","Ireland (IE)","4215.19","4245.00"
"17/09/2024 20:30 - 17/09/2024 21:00","Ireland (IE)","4230.22","4246.00"
"17/09/2024 21:00 - 17/09/2024 21:30","Ireland (IE)","4307.74","4216.00"
"17/09/2024 21:30 - 17/09/2024 22:00","Ireland (IE)","4330.74","4187.00"
"17/09/2024 22:00 - 17/09/2024 22:30","Ireland (IE)","4245.69","4042.00"
"17/09/2024 22:30 - 17/09/2024 23:00","Ireland (IE)","4048.94","3897.00"
"17/09/2024 23:00 - 17/09/2024 23:30","Ireland (IE)","3835.30","3782.00"
"17/09/2024 23:30 - 18/09/2024 00:00","Ireland (IE)","3634.88","3666.00"
"18/09/2024 00:00 - 18/09/2024 00:30","Ireland (IE)","3441.86","3559.00"
"18/09/2024 00:30 - 18/09/2024 01:00","Ireland (IE)","3322.19","3451.00"
"18/09/2024 01:00 - 18/09/2024 01:30","Ireland (IE)","3211.64","3394.00"
"18/09/2024 01:30 - 18/09/2024 02:00","Ireland (IE)","3161.07","3337.00"
"18/09/2024 02:00 - 18/09/2024 02:30","Ireland (IE)","3087.17","3310.00"
"18/09/2024 02:30 - 18/09/2024 03:00","Ireland (IE)","3025.19","3283.00"
"18/09/2024 03:00 - 18/09/2024 03:30","Ireland (IE)","2987.70","3272.00"
"18/09/2024 03:30 - 18/09/2024 04:00","Ireland (IE)","3016.75","3261.00"
"18/09/2024 04:00 - 18/09/2024 04:30","Ireland (IE)","2982.92","3259.00"
"18/09/2024 04:30 - 18/09/2024 05:00","Ireland (IE)","2968.14","3256.00"
"18/09/2024 05:00 - 18/09/2024 05:30","Ireland (IE)","2949.89","3280.00"
"18/09/2024 05:30 - 18/09/2024 06:00","Ireland (IE)","2949.24","3304.00"
"18/09/2024 06:00 - 18/09/2024 06:30","Ireland (IE)","2979.01","3413.00"
"18/09/2024 06:30 - 18/09/2024 07:00","Ireland (IE)","3044.70","3522.00"
"18/09/2024 07:00 - 18/09/2024 07:30","Ireland (IE)","3175.64","3661.00"
"18/09/2024 07:30 - 18/09/2024 08:00","Ireland (IE)","3395.90","3800.00"
"18/09/2024 08:00 - 18/09/2024 08:30","Ireland (IE)","3657.94","3983.00"
"18/09/2024 08:30 - 18/09/2024 09:00","Ireland (IE)","3967.55","4166.00"
"18/09/2024 09:00 - 18/09/2024 09:30","Ireland (IE)","4096.17","4252.00"
"18/09/2024 09:30 - 18/09/2024 10:00","Ireland (IE)","4152.96","4337.00"
"18/09/2024 10:00 - 18/09/2024 10:30","Ireland (IE)","4138.94","4321.00"
"18/09/2024 10:30 - 18/09/2024 11:00","Ireland (IE)","4150.42","4305.00"
"18/09/2024 11:00 - 18/09/2024 11:30","Ireland (IE)","4105.35","4274.00"
"18/09/2024 11:30 - 18/09/2024 12:00","Ireland (IE)","4056.67","4242.00"
"18/09/2024 12:00 - 18/09/2024 12:30","Ireland (IE)","4043.05","4239.00"
"18/09/2024 12:30 - 18/09/2024 13:00","Ireland (IE)","4015.94","4236.00"
"18/09/2024 13:00 - 18/09/2024 13:30","Ireland (IE)","3993.20","4217.00"
"18/09/2024 13:30 - 18/09/2024 14:00","Ireland (IE)","3972.18","4198.00"
"18/09/2024 14:00 - 18/09/2024 14:30","Ireland (IE)","3960.04","4180.00"
"18/09/2024 14:30 - 18/09/2024 15:00","Ireland (IE)","3883.74","4162.00"
"18/09/2024 15:00 - 18/09/2024 15:30","Ireland (IE)","3888.23","4176.00"
"18/09/2024 15:30 - 18/09/2024 16:00","Ireland (IE)","3888.05","4191.00"
"18/09/2024 16:00 - 18/09/2024 16:30","Ireland (IE)","3877.30","4237.00"
"18/09/2024 16:30 - 18/09/2024 17:00","Ireland (IE)","3914.38","4283.00"
"18/09/2024 17:00 - 18/09/2024 17:30","Ireland (IE)","3966.30","4373.00"
"18/09/2024 17:30 - 18/09/2024 18:00","Ireland (IE)","4057.51","4463.00"
"18/09/2024 18:00 - 18/09/2024 18:30","Ireland (IE)","4136.34","4443.00"
"18/09/2024 18:30 - 18/09/2024 19:00","Ireland (IE)","4235.30","4423.00"
"18/09/2024 19:00 - 18/09/2024 19:30","Ireland (IE)","4255.07","4352.00"
"18/09/2024 19:30 - 18/09/2024 20:00","Ireland (IE)","4251.26","4282.00"
"18/09/2024 20:00 - 18/09/2024 20:30","Ireland (IE)","4215.01","4280.00"
"18/09/2024 20:30 - 18/09/2024 21:00","Ireland (IE)","4223.05","4277.00"
"18/09/2024 21:00 - 18/09/2024 21:30","Ireland (IE)","4325.47","4239.00"
"18/09/2024 21:30 - 18/09/2024 22:00","Ireland (IE)","4312.06","4201.00"
"18/09/2024 22:00 - 18/09/2024 22:30","Ireland (IE)","4209.27","4054.00"
"18/09/2024 22:30 - 18/09/2024 23:00","Ireland (IE)","4043.20","3907.00"
"18/09/2024 23:00 - 18/09/2024 23:30","Ireland (IE)","3846.02","3788.00"
"18/09/2024 23:30 - 19/09/2024 00:00","Ireland (IE)","3650.31","3669.00"
"19/09/2024 00:00 - 19/09/2024 00:30","Ireland (IE)","3476.55","3569.00"
"19/09/2024 00:30 - 19/09/2024 01:00","Ireland (IE)","3360.17","3470.00"
"19/09/2024 01:00 - 19/09/2024 01:30","Ireland (IE)","3232.27","3413.00"
"19/09/2024 01:30 - 19/09/2024 02:00","Ireland (IE)","3234.44","3356.00"
"19/09/2024 02:00 - 19/09/2024 02:30","Ireland (IE)","3185.37","3326.00"
"19/09/2024 02:30 - 19/09/2024 03:00","Ireland (IE)","3147.63","3297.00"
"19/09/2024 03:00 - 19/09/2024 03:30","Ireland (IE)","3109.06","3285.00"
"19/09/2024 03:30 - 19/09/2024 04:00","Ireland (IE)","3094.12","3274.00"
"19/09/2024 04:00 - 19/09/2024 04:30","Ireland (IE)","3060.36","3271.00"
"19/09/2024 04:30 - 19/09/2024 05:00","Ireland (IE)","3061.80","3268.00"
"19/09/2024 05:00 - 19/09/2024 05:30","Ireland (IE)","3044.68","3292.00"
"19/09/2024 05:30 - 19/09/2024 06:00","Ireland (IE)","3048.57","3315.00"
"19/09/2024 06:00 - 19/09/2024 06:30","Ireland (IE)","3063.32","3424.00"
"19/09/2024 06:30 - 19/09/2024 07:00","Ireland (IE)","3084.45","3532.00"
"19/09/2024 07:00 - 19/09/2024 07:30","Ireland (IE)","3196.36","3671.00"
"19/09/2024 07:30 - 19/09/2024 08:00","Ireland (IE)","3415.97","3810.00"
"19/09/2024 08:00 - 19/09/2024 08:30","Ireland (IE)","3667.73","3991.00"
"19/09/2024 08:30 - 19/09/2024 09:00","Ireland (IE)","3983.59","4172.00"
"19/09/2024 09:00 - 19/09/2024 09:30","Ireland (IE)","4151.43","4254.00"
"19/09/2024 09:30 - 19/09/2024 10:00","Ireland (IE)","4203.55","4335.00"
"19/09/2024 10:00 - 19/09/2024 10:30","Ireland (IE)","4199.33","4317.00"
"19/09/2024 10:30 - 19/09/2024 11:00","Ireland (IE)","4194.10","4298.00"
"19/09/2024 11:00 - 19/09/2024 11:30","Ireland (IE)","4139.19","4272.00"
"19/09/2024 11:30 - 19/09/2024 12:00","Ireland (IE)","4085.43","4245.00"
"19/09/2024 12:00 - 19/09/2024 12:30","Ireland (IE)","4056.07","4240.00"
"19/09/2024 12:30 - 19/09/2024 13:00","Ireland (IE)","4006.62","4235.00"
"19/09/2024 13:00 - 19/09/2024 13:30","Ireland (IE)","3965.48","4216.00"
"19/09/2024 13:30 - 19/09/2024 14:00","Ireland (IE)","3980.98","4197.00"
"19/09/2024 14:00 - 19/09/2024 14:30","Ireland (IE)","3936.95","4177.00"
"19/09/2024 14:30 - 19/09/2024 15:00","Ireland (IE)","3865.63","4157.00"
"19/09/2024 15:00 - 19/09/2024 15:30","Ireland (IE)","3854.29","4168.00"
"19/09/2024 15:30 - 19/09/2024 16:00","Ireland (IE)","3862.39","4180.00"
"19/09/2024 16:00 - 19/09/2024 16:30","Ireland (IE)","3877.48","4230.00"
"19/09/2024 16:30 - 19/09/2024 17:00","Ireland (IE)","3930.97","4280.00"
"19/09/2024 17:00 - 19/09/2024 17:30","Ireland (IE)","3977.59","4353.00"
"19/09/2024 17:30 - 19/09/2024 18:00","Ireland (IE)","4087.65","4426.00"
"19/09/2024 18:00 - 19/09/2024 18:30","Ireland (IE)","4158.65","4407.00"
"19/09/2024 18:30 - 19/09/2024 19:00","Ireland (IE)","4244.82","4388.00"
"19/09/2024 19:00 - 19/09/2024 19:30","Ireland (IE)","4256.81","4345.00"
"19/09/2024 19:30 - 19/09/2024 20:00","Ireland (IE)","4257.00","4302.00"
"19/09/2024 20:00 - 19/09/2024 20:30","Ireland (IE)","4205.51","4305.00"
"19/09/2024 20:30 - 19/09/2024 21:00","Ireland (IE)","4219.38","4308.00"
"19/09/2024 21:00 - 19/09/2024 21:30","Ireland (IE)","4313.22","4258.00"
"19/09/2024 21:30 - 19/09/2024 22:00","Ireland (IE)","4305.26","4208.00"
"19/09/2024 22:00 - 19/09/2024 22:30","Ireland (IE)","4177.31","4061.00"
"19/09/2024 22:30 - 19/09/2024 23:00","Ireland (IE)","4003.34","3914.00"
"19/09/2024 23:00 - 19/09/2024 23:30","Ireland (IE)","3807.45","3783.00"
"19/09/2024 23:30 - 20/09/2024 00:00","Ireland (IE)","3638.56","3653.00"
"20/09/2024 00:00 - 20/09/2024 00:30","Ireland (IE)","3461.32","3568.00"
"20/09/2024 00:30 - 20/09/2024 01:00","Ireland (IE)","3349.22","3484.00"
"20/09/2024 01:00 - 20/09/2024 01:30","Ireland (IE)","3240.72","3427.00"
"20/09/2024 01:30 - 20/09/2024 02:00","Ireland (IE)","3198.52","3371.00"
"20/09/2024 02:00 - 20/09/2024 02:30","Ireland (IE)","3121.23","3341.00"
"20/09/2024 02:30 - 20/09/2024 03:00","Ireland (IE)","3086.93","3311.00"
"20/09/2024 03:00 - 20/09/2024 03:30","Ireland (IE)","3037.71","3295.00"
"20/09/2024 03:30 - 20/09/2024 04:00","Ireland (IE)","3066.85","3280.00"
"20/09/2024 04:00 - 20/09/2024 04:30","Ireland (IE)","3037.67","3274.00"
"20/09/2024 04:30 - 20/09/2024 05:00","Ireland (IE)","3019.16","3269.00"
"20/09/2024 05:00 - 20/09/2024 05:30","Ireland (IE)","2992.38","3292.00"
"20/09/2024 05:30 - 20/09/2024 06:00","Ireland (IE)","2982.23","3315.00"
"20/09/2024 06:00 - 20/09/2024 06:30","Ireland (IE)","3006.15","3423.00"
"20/09/2024 06:30 - 20/09/2024 07:00","Ireland (IE)","3054.96","3531.00"
"20/09/2024 07:00 - 20/09/2024 07:30","Ireland (IE)","3178.97","3666.00"
"20/09/2024 07:30 - 20/09/2024 08:00","Ireland (IE)","3386.53","3800.00"
"20/09/2024 08:00 - 20/09/2024 08:30","Ireland (IE)","3657.58","3978.00"
"20/09/2024 08:30 - 20/09/2024 09:00","Ireland (IE)","3972.84","4156.00"
"20/09/2024 09:00 - 20/09/2024 09:30","Ireland (IE)","4139.89","4228.00"
"20/09/2024 09:30 - 20/09/2024 10:00","Ireland (IE)","4209.21","4300.00"
"20/09/2024 10:00 - 20/09/2024 10:30","Ireland (IE)","4208.33","4297.00"
"20/09/2024 10:30 - 20/09/2024 11:00","Ireland (IE)","4207.66","4294.00"
"20/09/2024 11:00 - 20/09/2024 11:30","Ireland (IE)","N/A","4268.00"
"20/09/2024 11:30 - 20/09/2024 12:00","Ireland (IE)","N/A","4242.00"
"20/09/2024 12:00 - 20/09/2024 12:30","Ireland (IE)","4098.92","4235.00"
"20/09/2024 12:30 - 20/09/2024 13:00","Ireland (IE)","4062.25","4229.00"
"20/09/2024 13:00 - 20/09/2024 13:30","Ireland (IE)","4027.77","4207.00"
"20/09/2024 13:30 - 20/09/2024 14:00","Ireland (IE)","4013.51","4185.00"
"20/09/2024 14:00 - 20/09/2024 14:30","Ireland (IE)","3984.03","4161.00"
"20/09/2024 14:30 - 20/09/2024 15:00","Ireland (IE)","3936.91","4137.00"
"20/09/2024 15:00 - 20/09/2024 15:30","Ireland (IE)","3921.73","4142.00"
"20/09/2024 15:30 - 20/09/2024 16:00","Ireland (IE)","3895.34","4148.00"
"20/09/2024 16:00 - 20/09/2024 16:30","Ireland (IE)","3879.32","4176.00"
"20/09/2024 16:30 - 20/09/2024 17:00","Ireland (IE)","3915.11","4204.00"
"20/09/2024 17:00 - 20/09/2024 17:30","Ireland (IE)","3944.01","4244.00"
"20/09/2024 17:30 - 20/09/2024 18:00","Ireland (IE)","4030.36","4285.00"
"20/09/2024 18:00 - 20/09/2024 18:30","Ireland (IE)","4091.22","4273.00"
"20/09/2024 18:30 - 20/09/2024 19:00","Ireland (IE)","4164.19","4262.00"
"20/09/2024 19:00 - 20/09/2024 19:30","Ireland (IE)","4176.02","4225.00"
"20/09/2024 19:30 - 20/09/2024 20:00","Ireland (IE)","4174.01","4189.00"
"20/09/2024 20:00 - 20/09/2024 20:30","Ireland (IE)","4155.63","4191.00"
"20/09/2024 20:30 - 20/09/2024 21:00","Ireland (IE)","4152.02","4193.00"
"20/09/2024 21:00 - 20/09/2024 21:30","Ireland (IE)","4214.35","4144.00"
"20/09/2024 21:30 - 20/09/2024 22:00","Ireland (IE)","4137.58","4094.00"
"20/09/2024 22:00 - 20/09/2024 22:30","Ireland (IE)","4010.27","3956.00"
"20/09/2024 22:30 - 20/09/2024 23:00","Ireland (IE)","3885.30","3817.00"
"20/09/2024 23:00 - 20/09/2024 23:30","Ireland (IE)","3717.92","3743.00"
"20/09/2024 23:30 - 21/09/2024 00:00","Ireland (IE)","3550.20","3668.00"
"21/09/2024 00:00 - 21/09/2024 00:30","Ireland (IE)","3429.81","3579.00"
"21/09/2024 00:30 - 21/09/2024 01:00","Ireland (IE)","3324.33","3491.00"
"21/09/2024 01:00 - 21/09/2024 01:30","Ireland (IE)","3203.75","3441.00"
"21/09/2024 01:30 - 21/09/2024 02:00","Ireland (IE)","3168.82","3390.00"
"21/09/2024 02:00 - 21/09/2024 02:30","Ireland (IE)","3114.39","3353.00"
"21/09/2024 02:30 - 21/09/2024 03:00","Ireland (IE)","3081.89","3316.00"
"21/09/2024 03:00 - 21/09/2024 03:30","Ireland (IE)","3023.81","3292.00"
"21/09/2024 03:30 - 21/09/2024 04:00","Ireland (IE)","3044.23","3267.00"
"21/09/2024 04:00 - 21/09/2024 04:30","Ireland (IE)","2995.16","3252.00"
"21/09/2024 04:30 - 21/09/2024 05:00","Ireland (IE)","2954.13","3237.00"
"21/09/2024 05:00 - 21/09/2024 05:30","Ireland (IE)","2931.49","3247.00"
"21/09/2024 05:30 - 21/09/2024 06:00","Ireland (IE)","2910.20","3256.00"
"21/09/2024 06:00 - 21/09/2024 06:30","Ireland (IE)","2907.82","3329.00"
"21/09/2024 06:30 - 21/09/2024 07:00","Ireland (IE)","2910.60","3402.00"
"21/09/2024 07:00 - 21/09/2024 07:30","Ireland (IE)","2961.92","3516.00"
"21/09/2024 07:30 - 21/09/2024 08:00","Ireland (IE)","3044.72","3631.00"
"21/09/2024 08:00 - 21/09/2024 08:30","Ireland (IE)","3145.75","3636.00"
"21/09/2024 08:30 - 21/09/2024 09:00","Ireland (IE)","3283.28","3641.00"
"21/09/2024 09:00 - 21/09/2024 09:30","Ireland (IE)","3434.18","3715.00"
"21/09/2024 09:30 - 21/09/2024 10:00","Ireland (IE)","3629.03","3788.00"
"21/09/2024 10:00 - 21/09/2024 10:30","Ireland (IE)","3751.13","3843.00"
"21/09/2024 10:30 - 21/09/2024 11:00","Ireland (IE)","3818.70","3899.00"
"21/09/2024 11:00 - 21/09/2024 11:30","Ireland (IE)","3845.47","3920.00"
"21/09/2024 11:30 - 21/09/2024 12:00","Ireland (IE)","3835.98","3941.00"
"21/09/2024 12:00 - 21/09/2024 12:30","Ireland (IE)","3803.93","3948.00"
"21/09/2024 12:30 - 21/09/2024 13:00","Ireland (IE)","3838.22","3955.00"
"21/09/2024 13:00 - 21/09/2024 13:30","Ireland (IE)","3818.25","3934.00"
"21/09/2024 13:30 - 21/09/2024 14:00","Ireland (IE)","3822.88","3914.00"
"21/09/2024 14:00 - 21/09/2024 14:30","Ireland (IE)","3802.52","3888.00"
"21/09/2024 14:30 - 21/09/2024 15:00","Ireland (IE)","3797.00","3862.00"
"21/09/2024 15:00 - 21/09/2024 15:30","Ireland (IE)","3758.67","3848.00"
"21/09/2024 15:30 - 21/09/2024 16:00","Ireland (IE)","3753.69","3835.00"
"21/09/2024 16:00 - 21/09/2024 16:30","Ireland (IE)","3735.14","3849.00"
"21/09/2024 16:30 - 21/09/2024 17:00","Ireland (IE)","3754.24","3864.00"
"21/09/2024 17:00 - 21/09/2024 17:30","Ireland (IE)","3755.30","3899.00"
"21/09/2024 17:30 - 21/09/2024 18:00","Ireland (IE)","3827.60","3935.00"
"21/09/2024 18:00 - 21/09/2024 18:30","Ireland (IE)","3901.66","3946.00"
"21/09/2024 18:30 - 21/09/2024 19:00","Ireland (IE)","3975.63","3958.00"
"21/09/2024 19:00 - 21/09/2024 19:30","Ireland (IE)","4002.09","3947.00"
"21/09/2024 19:30 - 21/09/2024 20:00","Ireland (IE)","4015.23","3937.00"
"21/09/2024 20:00 - 21/09/2024 20:30","Ireland (IE)","3963.55","3948.00"
"21/09/2024 20:30 - 21/09/2024 21:00","Ireland (IE)","3976.41","3960.00"
"21/09/2024 21:00 - 21/09/2024 21:30","Ireland (IE)","3975.65","3912.00"
"21/09/2024 21:30 - 21/09/2024 22:00","Ireland (IE)","3894.66","3864.00"
"21/09/2024 22:00 - 21/09/2024 22:30","Ireland (IE)","3776.50","3747.00"
"21/09/2024 22:30 - 21/09/2024 23:00","Ireland (IE)","3652.21","3629.00"
"21/09/2024 23:00 - 21/09/2024 23:30","Ireland (IE)","3523.99","3570.00"
"21/09/2024 23:30 - 22/09/2024 00:00","Ireland (IE)","3389.44","3512.00"
"22/09/2024 00:00 - 22/09/2024 00:30","Ireland (IE)","3262.09","3441.00"
"22/09/2024 00:30 - 22/09/2024 01:00","Ireland (IE)","3174.59","3370.00"
"22/09/2024 01:00 - 22/09/2024 01:30","Ireland (IE)","3101.54","3337.00"
"22/09/2024 01:30 - 22/09/2024 02:00","Ireland (IE)","3062.73","3304.00"
"22/09/2024 02:00 - 22/09/2024 02:30","Ireland (IE)","2995.42","3273.00"
"22/09/2024 02:30 - 22/09/2024 03:00","Ireland (IE)","2944.07","3243.00"
"22/09/2024 03:00 - 22/09/2024 03:30","Ireland (IE)","2906.50","3222.00"
"22/09/2024 03:30 - 22/09/2024 04:00","Ireland (IE)","2926.71","3201.00"
"22/09/2024 04:00 - 22/09/2024 04:30","Ireland (IE)","2885.22","3186.00"
"22/09/2024 04:30 - 22/09/2024 05:00","Ireland (IE)","2861.46","3171.00"
"22/09/2024 05:00 - 22/09/2024 05:30","Ireland (IE)","2840.39","3177.00"
"22/09/2024 05:30 - 22/09/2024 06:00","Ireland (IE)","2840.91","3183.00"
"22/09/2024 06:00 - 22/09/2024 06:30","Ireland (IE)","2824.70","3245.00"
"22/09/2024 06:30 - 22/09/2024 07:00","Ireland (IE)","2829.02","3307.00"
"22/09/2024 07:00 - 22/09/2024 07:30","Ireland (IE)","2842.90","3393.00"
"22/09/2024 07:30 - 22/09/2024 08:00","Ireland (IE)","2895.72","3478.00"
"22/09/2024 08:00 - 22/09/2024 08:30","Ireland (IE)","2962.47","3511.00"
"22/09/2024 08:30 - 22/09/2024 09:00","Ireland (IE)","3044.22","3543.00"
"22/09/2024 09:00 - 22/09/2024 09:30","Ireland (IE)","3186.80","3591.00"
"22/09/2024 09:30 - 22/09/2024 10:00","Ireland (IE)","3337.11","3638.00"
"22/09/2024 10:00 - 22/09/2024 10:30","Ireland (IE)","3447.97","3629.00"
"22/09/2024 10:30 - 22/09/2024 11:00","Ireland (IE)","3584.48","3620.00"
"22/09/2024 11:00 - 22/09/2024 11:30","Ireland (IE)","3664.42","3670.00"
"22/09/2024 11:30 - 22/09/2024 12:00","Ireland (IE)","3735.93","3720.00"
"22/09/2024 12:00 - 22/09/2024 12:30","Ireland (IE)","3765.18","3754.00"
"22/09/2024 12:30 - 22/09/2024 13:00","Ireland (IE)","3793.72","3788.00"
"22/09/2024 13:00 - 22/09/2024 13:30","Ireland (IE)","3819.33","3799.00"
"22/09/2024 13:30 - 22/09/2024 14:00","Ireland (IE)","3853.51","3810.00"
"22/09/2024 14:00 - 22/09/2024 14:30","Ireland (IE)","3857.68","3796.00"
"22/09/2024 14:30 - 22/09/2024 15:00","Ireland (IE)","3826.91","3782.00"
"22/09/2024 15:00 - 22/09/2024 15:30","Ireland (IE)","3777.45","3764.00"
"22/09/2024 15:30 - 22/09/2024 16:00","Ireland (IE)","3769.90","3745.00"
"22/09/2024 16:00 - 22/09/2024 16:30","Ireland (IE)","3743.92","3756.00"
"22/09/2024 16:30 - 22/09/2024 17:00","Ireland (IE)","3759.70","3766.00"
"22/09/2024 17:00 - 22/09/2024 17:30","Ireland (IE)","3772.48","3795.00"
"22/09/2024 17:30 - 22/09/2024 18:00","Ireland (IE)","3844.53","3824.00"
"22/09/2024 18:00 - 22/09/2024 18:30","Ireland (IE)","3907.52","3833.00"
"22/09/2024 18:30 - 22/09/2024 19:00","Ireland (IE)","3989.68","3841.00"
"22/09/2024 19:00 - 22/09/2024 19:30","Ireland (IE)","4027.64","3848.00"
"22/09/2024 19:30 - 22/09/2024 20:00","Ireland (IE)","4002.77","3854.00"
"22/09/2024 20:00 - 22/09/2024 20:30","Ireland (IE)","4036.25","3884.00"
"22/09/2024 20:30 - 22/09/2024 21:00","Ireland (IE)","4056.07","3913.00"
"22/09/2024 21:00 - 22/09/2024 21:30","Ireland (IE)","4090.52","3879.00"
"22/09/2024 21:30 - 22/09/2024 22:00","Ireland (IE)","4002.88","3845.00"
"22/09/2024 22:00 - 22/09/2024 22:30","Ireland (IE)","3880.52","3738.00"
"22/09/2024 22:30 - 22/09/2024 23:00","Ireland (IE)","3751.70","3632.00"
"22/09/2024 23:00 - 22/09/2024 23:30","Ireland (IE)","3582.54","3548.00"
"22/09/2024 23:30 - 23/09/2024 00:00","Ireland (IE)","3426.35","3465.00"
"23/09/2024 00:00 - 23/09/2024 00:30","Ireland (IE)","3254.32","3376.00"
"23/09/2024 00:30 - 23/09/2024 01:00","Ireland (IE)","3151.78","3288.00"
"23/09/2024 01:00 - 23/09/2024 01:30","Ireland (IE)","3049.46","3246.00"
"23/09/2024 01:30 - 23/09/2024 02:00","Ireland (IE)","3037.38","3205.00"
"23/09/2024 02:00 - 23/09/2024 02:30","Ireland (IE)","2964.50","3185.00"
"23/09/2024 02:30 - 23/09/2024 03:00","Ireland (IE)","2924.03","3165.00"
